minecraft:apple	苹果
minecraft:diamond_sword	钻石剑
minecraft:diamond_shovel	钻石铲
minecraft:diamond_pickaxe	钻石镐
minecraft:diamond_axe	钻石斧
minecraft:stick	木棒
minecraft:bowl	碗
minecraft:golden_sword	金剑
minecraft:golden_shovel	金铲
minecraft:golden_pickaxe	金镐
minecraft:golden_axe	金斧
minecraft:string	线
minecraft:feather	羽毛
minecraft:gunpowder	火药
minecraft:wooden_hoe	木锄
minecraft:stone_hoe	石锄
minecraft:iron_hoe	铁锄
minecraft:diamond_hoe	钻石锄
minecraft:golden_hoe	金锄
minecraft:wheat	小麦
minecraft:leather_helmet	皮革帽子
minecraft:leather_chestplate	皮革上衣
minecraft:leather_leggings	皮革裤子
minecraft:leather_boots	皮革靴子
minecraft:chainmail_helmet	锁链头盔
minecraft:chainmail_chestplate	锁链胸甲
minecraft:chainmail_leggings	锁链护腿
minecraft:chainmail_boots	锁链靴子
minecraft:iron_helmet	铁制头盔
minecraft:iron_chestplate	铁制胸甲
minecraft:iron_leggings	铁制护腿
minecraft:iron_boots	铁制靴子
minecraft:diamond_helmet	钻石头盔
minecraft:diamond_chestplate	钻石胸甲
minecraft:diamond_leggings	钻石护腿
minecraft:diamond_boots	钻石靴子
minecraft:golden_helmet	黄金头盔
minecraft:golden_chestplate	黄金胸甲
minecraft:golden_leggings	黄金护腿
minecraft:golden_boots	黄金靴子
minecraft:shield	盾牌
minecraft:flint	燧石
minecraft:painting	画
minecraft:oak_sign	橡木告示牌
minecraft:wooden_door	橡木门
minecraft:bucket	铁桶
minecraft:milk_bucket	鲜奶桶
minecraft:water_bucket	水桶
minecraft:lava_bucket	熔岩桶
minecraft:cod_bucket	鳕鱼桶
minecraft:salmon_bucket	鲑鱼桶
minecraft:tropical_fish_bucket	热带鱼桶
minecraft:pufferfish_bucket	河豚桶
minecraft:powder_snow_bucket	粉雪桶
minecraft:axolotl_bucket	六角恐龙桶
minecraft:minecart	矿车
minecraft:saddle	鞍
minecraft:iron_door	铁门
minecraft:redstone	红石粉
minecraft:snowball	雪球
minecraft:oak_boat	橡木船
minecraft:birch_boat	桦木船
minecraft:jungle_boat	丛林木船
minecraft:spruce_boat	杉木船
minecraft:acacia_boat	相思木船
minecraft:dark_oak_boat	黑橡木船
minecraft:leather	皮革
minecraft:kelp	海带
minecraft:brick	红砖头
minecraft:clay_ball	黏土
minecraft:sugar_cane	甘蔗
minecraft:paper	纸
minecraft:book	书
minecraft:slime_ball	史莱姆球
minecraft:chest_minecart	储物箱矿车
minecraft:egg	鸡蛋
minecraft:compass	罗盘
minecraft:fishing_rod	钓竿
minecraft:clock	时钟
minecraft:glowstone_dust	萤石粉
minecraft:black_dye	黑色染料
minecraft:red_dye	红色染料
minecraft:green_dye	绿色染料
minecraft:brown_dye	棕色染料
minecraft:blue_dye	蓝色染料
minecraft:purple_dye	紫色染料
minecraft:cyan_dye	青色染料
minecraft:light_gray_dye	浅灰色染料
minecraft:gray_dye	灰色染料
minecraft:pink_dye	粉红色染料
minecraft:lime_dye	浅绿色染料
minecraft:yellow_dye	黄色染料
minecraft:light_blue_dye	浅蓝色染料
minecraft:magenta_dye	洋红色染料
minecraft:orange_dye	橙色染料
minecraft:white_dye	白色染料
minecraft:bone_meal	骨粉
minecraft:cocoa_beans	可可豆
minecraft:ink_sac	墨囊
minecraft:lapis_lazuli	青金石
minecraft:bone	骨头
minecraft:sugar	糖
minecraft:cake	蛋糕
minecraft:bed	床
minecraft:repeater	红石中继器
minecraft:filled_map	地图
minecraft:shears	剪刀
minecraft:ender_pearl	终界珍珠
minecraft:blaze_rod	烈焰杆
minecraft:ghast_tear	幽灵之泪
minecraft:gold_nugget	金粒
minecraft:potion	药水
minecraft:glass_bottle	玻璃瓶
minecraft:fermented_spider_eye	发酵蜘蛛眼
minecraft:blaze_powder	烈焰粉
minecraft:magma_cream	岩浆球
minecraft:brewing_stand	酿造台
minecraft:cauldron	锅釜
minecraft:ender_eye	终界之眼
minecraft:glistering_melon_slice	镶金西瓜片
minecraft:chicken_spawn_egg	生成鸡
minecraft:cow_spawn_egg	生成牛
minecraft:pig_spawn_egg	生成猪
minecraft:sheep_spawn_egg	生成绵羊
minecraft:wolf_spawn_egg	生成狼
minecraft:mooshroom_spawn_egg	生成哞菇
minecraft:creeper_spawn_egg	生成苦力怕
minecraft:enderman_spawn_egg	生成终界使者
minecraft:silverfish_spawn_egg	生成蠹鱼
minecraft:skeleton_spawn_egg	生成骷髅
minecraft:slime_spawn_egg	生成史莱姆
minecraft:spider_spawn_egg	生成蜘蛛
minecraft:zombie_spawn_egg	生成僵尸
minecraft:zombie_pigman_spawn_egg	生成僵尸化猪布林
minecraft:villager_spawn_egg	生成村民
minecraft:squid_spawn_egg	生成鱿鱼
minecraft:ocelot_spawn_egg	生成山猫
minecraft:witch_spawn_egg	生成女巫
minecraft:bat_spawn_egg	生成蝙蝠
minecraft:ghast_spawn_egg	生成地狱幽灵
minecraft:magma_cube_spawn_egg	生成岩浆立方怪
minecraft:blaze_spawn_egg	生成烈焰使者
minecraft:cave_spider_spawn_egg	生成洞穴蜘蛛
minecraft:horse_spawn_egg	生成马
minecraft:rabbit_spawn_egg	生成兔子
minecraft:endermite_spawn_egg	生成终界螨
minecraft:guardian_spawn_egg	生成深海守卫
minecraft:stray_spawn_egg	生成流髑
minecraft:husk_spawn_egg	生成尸壳
minecraft:wither_skeleton_spawn_egg	生成凋零骷髅
minecraft:donkey_spawn_egg	生成驴子
minecraft:mule_spawn_egg	生成骡子
minecraft:skeleton_horse_spawn_egg	生成骷髅马
minecraft:zombie_horse_spawn_egg	生成僵尸马
minecraft:shulker_spawn_egg	生成界伏蚌
minecraft:npc_spawn_egg	生成NPC
minecraft:elder_guardian_spawn_egg	生成远古深海守卫
minecraft:polar_bear_spawn_egg	生成北极熊
minecraft:llama_spawn_egg	生成骆马
minecraft:vindicator_spawn_egg	生成卫道士
minecraft:evoker_spawn_egg	生成唤魔者
minecraft:vex_spawn_egg	生成恼鬼
minecraft:zombie_villager_spawn_egg	生成僵尸村民
minecraft:parrot_spawn_egg	生成鹦鹉
minecraft:tropical_fish_spawn_egg	生成热带鱼
minecraft:cod_spawn_egg	生成鳕鱼
minecraft:pufferfish_spawn_egg	生成河豚
minecraft:salmon_spawn_egg	生成鲑鱼
minecraft:drowned_spawn_egg	生成沉尸
minecraft:dolphin_spawn_egg	生成海豚
minecraft:turtle_spawn_egg	生成海龟
minecraft:phantom_spawn_egg	生成夜魅
minecraft:agent_spawn_egg	生成智慧体
minecraft:cat_spawn_egg	生成猫
minecraft:panda_spawn_egg	生成猫熊
minecraft:fox_spawn_egg	生成狐狸
minecraft:pillager_spawn_egg	生成掠夺者
minecraft:wandering_trader_spawn_egg	生成流浪商人
minecraft:ravager_spawn_egg	生成劫毁兽
minecraft:bee_spawn_egg	生成蜜蜂
minecraft:strider_spawn_egg	生成炽足兽
minecraft:hoglin_spawn_egg	生成猪布兽
minecraft:piglin_spawn_egg	生成猪布林
minecraft:zoglin_spawn_egg	生成猪尸兽
minecraft:piglin_brute_spawn_egg	生成猪布林蛮兵
minecraft:axolotl_spawn_egg	生成六角恐龙
minecraft:goat_spawn_egg	生成山羊
minecraft:glow_squid_spawn_egg	生成萤光鱿鱼
minecraft:glow_ink_sac	萤光墨囊
minecraft:copper_ingot	铜锭
minecraft:raw_iron	铁原矿
minecraft:raw_gold	金原矿
minecraft:raw_copper	铜原矿
minecraft:experience_bottle	经验瓶
minecraft:fire_charge	火焰弹
minecraft:writable_book	书和羽毛笔
minecraft:written_book	完成的书
minecraft:emerald	绿宝石
minecraft:frame	物品展示框
minecraft:flower_pot	花盆
minecraft:empty_map	空白地图
minecraft:skull	生物头颅
minecraft:carrot_on_a_stick	胡萝卜钓竿
minecraft:nether_star	地狱之星
minecraft:firework_rocket	烟火
minecraft:firework_star	火药球
minecraft:enchanted_book	附魔书
minecraft:comparator	红石比较器
minecraft:netherbrick	地狱砖头
minecraft:quartz	地狱石英
minecraft:tnt_minecart	TNT矿车
minecraft:hopper_minecart	漏斗矿车
minecraft:hopper	漏斗
minecraft:rabbit_foot	兔子脚
minecraft:rabbit_hide	兔子皮
minecraft:leather_horse_armor	皮革马铠
minecraft:iron_horse_armor	铁制马铠
minecraft:golden_horse_armor	黄金马铠
minecraft:diamond_horse_armor	钻石制马铠
minecraft:music_disc_13	唱片 （13）
minecraft:music_disc_cat	唱片 （cat）
minecraft:music_disc_blocks	唱片 （blocks）
minecraft:music_disc_chirp	唱片 （chirp）
minecraft:music_disc_far	唱片 （far）
minecraft:music_disc_mall	唱片 （mall）
minecraft:music_disc_mellohi	唱片 （mellohi）
minecraft:music_disc_stal	唱片 （stal）
minecraft:music_disc_strad	唱片 （strad）
minecraft:music_disc_ward	唱片 （ward）
minecraft:music_disc_11	唱片 （11）
minecraft:music_disc_wait	唱片 （wait）
minecraft:trident	三叉戟
minecraft:lead	拴绳
minecraft:name_tag	命名牌
minecraft:prismarine_crystals	海磷晶体
minecraft:mutton	生羊肉
minecraft:cooked_mutton	烤羊肉
minecraft:armor_stand	盔甲座
minecraft:spruce_door	杉木门
minecraft:birch_door	桦木门
minecraft:jungle_door	丛林木门
minecraft:acacia_door	相思木门
minecraft:dark_oak_door	黑橡木门
minecraft:chorus_fruit	歌莱果
minecraft:popped_chorus_fruit	爆开的歌莱果
minecraft:dragon_breath	龙之吐息
minecraft:splash_potion	飞溅药水
minecraft:lingering_potion	滞留药水
minecraft:command_block_minecart	指令方块矿车
minecraft:elytra	鞘翅
minecraft:prismarine_shard	海磷碎片
minecraft:shulker_shell	界伏壳
minecraft:banner	旗帜
minecraft:totem_of_undying	不死图腾
minecraft:iron_nugget	铁粒
minecraft:nautilus_shell	鹦鹉螺壳
minecraft:heart_of_the_sea	海洋之心
minecraft:scute	鳞甲
minecraft:turtle_helmet	海龟壳
minecraft:phantom_membrane	夜魅皮膜
minecraft:crossbow	弩
minecraft:spruce_sign	杉木告示牌
minecraft:birch_sign	桦木告示牌
minecraft:jungle_sign	丛林木告示牌
minecraft:acacia_sign	相思木告示牌
minecraft:dark_oak_sign	黑橡木告示牌
minecraft:flower_banner_pattern	旗帜图案（花朵图纹）
minecraft:creeper_banner_pattern	旗帜图案（苦力怕图纹）
minecraft:skull_banner_pattern	旗帜图案（骷髅图纹）
minecraft:mojang_banner_pattern	旗帜图案（Mojang标志）
minecraft:field_masoned_banner_pattern	旗帜图案（砖墙花纹）
minecraft:bordure_indented_banner_pattern	旗帜图案（锯齿框边）
minecraft:piglin_banner_pattern	旗帜图案（猪鼻）
minecraft:piglin_banner_pattern	旗帜图案（地球）
minecraft:campfire	营火
minecraft:suspicious_stew	可疑的炖汤
minecraft:honeycomb	蜂巢
minecraft:honey_bottle	蜂蜜瓶
minecraft:board	黑板
minecraft:photo	相片
minecraft:portfolio	公文包
minecraft:camera	相机
minecraft:compound	化合物
minecraft:ice_bomb	冰弹
minecraft:bleach	漂白剂
minecraft:rapid_fertilizer	超级肥料
minecraft:balloon	气球
minecraft:medicine	药物
minecraft:sparkler	烟花棒
minecraft:glow_stick	荧光棒
minecraft:lodestone_compass	磁石罗盘
minecraft:netherite_ingot	狱髓锭
minecraft:netherite_sword	狱髓剑
minecraft:netherite_shovel	狱髓铲
minecraft:netherite_pickaxe	狱髓镐
minecraft:netherite_axe	狱髓斧
minecraft:netherite_hoe	狱髓锄
minecraft:netherite_helmet	狱髓头盔
minecraft:netherite_chestplate	狱髓胸甲
minecraft:netherite_leggings	狱髓护腿
minecraft:netherite_boots	狱髓靴子
minecraft:netherite_scrap	狱髓碎片
minecraft:crimson_sign	绯红蕈木告示牌
minecraft:warped_sign	扭曲蕈木告示牌
minecraft:crimson_door	绯红蕈木门
minecraft:warped_door	扭曲蕈木门
minecraft:warped_fungus_on_a_stick	扭曲蕈菇钓竿
minecraft:chain	锁链
minecraft:music_disc_pigstep	唱片 （Pigstep）
minecraft:nether_sprouts	地狱芽
minecraft:soul_campfire	灵魂营火
minecraft:glow_frame	萤光物品展示框
minecraft:goat_horn	山羊角
minecraft:copper_horn	铜制号角
minecraft:amethyst_shard	紫水晶碎片
minecraft:spyglass	望远镜
minecraft:music_disc_otherside	唱片 （otherside）
minecraft:frog_spawn_egg	生成青蛙
minecraft:tadpole_spawn_egg	生成蝌蚪
minecraft:tadpole_bucket	蝌蚪桶
minecraft:allay_spawn_egg	生成悦灵
minecraft:warden_spawn_egg	生成伏守者
minecraft:oak_chest_boat	储物箱橡木船
minecraft:birch_chest_boat	储物箱桦木船
minecraft:jungle_chest_boat	储物箱丛林木船
minecraft:spruce_chest_boat	储物箱杉木船
minecraft:acacia_chest_boat	储物箱相思木船
minecraft:dark_oak_chest_boat	储物箱黑橡木船
minecraft:chest_boat	储物箱橡木船
minecraft:boat	船
minecraft:dye	染料
minecraft:banner_pattern	旗帜图案
minecraft:spawn_egg	生怪蛋
minecraft:end_crystal	终界水晶
minecraft:glow_berries	萤光莓
minecraft:stone	石头
minecraft:grass	草地
minecraft:dirt	泥土
minecraft:cobblestone	鹅卵石
minecraft:planks	木材
minecraft:sapling	树苗
minecraft:bedrock	基岩
minecraft:flowing_water	水
minecraft:water	静态水
minecraft:flowing_lava	熔岩
minecraft:lava	静态熔岩
minecraft:sand	沙
minecraft:gravel	砾石
minecraft:gold_ore	金矿
minecraft:iron_ore	铁矿
minecraft:coal_ore	煤矿
minecraft:oak_log	橡木原木
minecraft:leaves	树叶
minecraft:sponge	海绵
minecraft:glass	玻璃
minecraft:lapis_ore	青金石矿
minecraft:lapis_block	青金石方块
minecraft:dispenser	发射器
minecraft:sandstone	砂岩
minecraft:noteblock	音阶盒
minecraft:bed	床
minecraft:golden_rail	动力铁轨
minecraft:detector_rail	感测铁轨
minecraft:sticky_piston	黏性活塞
minecraft:web	蜘蛛网
minecraft:tallgrass	草
minecraft:deadbush	枯灌木
minecraft:piston	活塞
minecraft:piston_arm_collision	活塞臂
minecraft:white_wool	白色羊毛
minecraft:element_0	未知元素（???）
minecraft:yellow_flower	蒲公英
minecraft:red_flower	花
minecraft:brown_mushroom	棕色蘑菇
minecraft:red_mushroom	红色蘑菇
minecraft:gold_block	黄金方块
minecraft:iron_block	铁方块
minecraft:double_stone_slab	双石半砖
minecraft:stone_slab	石半砖
minecraft:brick_block	红砖头块
minecraft:tnt	TNT
minecraft:bookshelf	书柜
minecraft:mossy_cobblestone	青苔鹅卵石
minecraft:obsidian	黑曜石
minecraft:torch	火把
minecraft:fire	火
minecraft:mob_spawner	生怪砖
minecraft:oak_stairs	橡木阶梯
minecraft:chest	储物箱
minecraft:redstone_wire	红石线
minecraft:diamond_ore	钻石矿
minecraft:diamond_block	钻石方块
minecraft:crafting_table	工作台
minecraft:wheat	小麦
minecraft:farmland	耕地
minecraft:furnace	熔炉
minecraft:lit_furnace	燃烧的熔炉
minecraft:standing_sign	橡木告示牌
minecraft:wooden_door	橡木门
minecraft:ladder	梯子
minecraft:rail	铁轨
minecraft:stone_stairs	鹅卵石阶梯
minecraft:wall_sign	墙上的橡木告示牌
minecraft:lever	控制杆
minecraft:stone_pressure_plate	石制压力板
minecraft:iron_door	铁门
minecraft:wooden_pressure_plate	木质压力板
minecraft:redstone_ore	红石矿
minecraft:lit_redstone_ore	发光的红石矿
minecraft:unlit_redstone_torch	熄灭的红石火把
minecraft:redstone_torch	红石火把
minecraft:stone_button	石制按钮
minecraft:snow_layer	顶层雪
minecraft:ice	冰
minecraft:snow	雪
minecraft:cactus	仙人掌
minecraft:clay	黏土
minecraft:reeds	甘蔗
minecraft:jukebox	唱片机
minecraft:oak_fence	橡木栅栏
minecraft:pumpkin	南瓜
minecraft:netherrack	地狱石
minecraft:soul_sand	灵魂砂
minecraft:glowstone	萤光石
minecraft:portal	地狱传送门
minecraft:lit_pumpkin	南瓜灯
minecraft:cake	蛋糕
minecraft:unpowered_repeater	未启动的中继器
minecraft:powered_repeater	启动的中继器
minecraft:invisible_bedrock	隐形的基岩
minecraft:trapdoor	地板门
minecraft:monster_egg	虫蚀方块
minecraft:stonebrick	石砖
minecraft:brown_mushroom_block	棕色蘑菇方块
minecraft:red_mushroom_block	红色蘑菇方块
minecraft:iron_bars	铁栅栏
minecraft:glass_pane	玻璃片
minecraft:melon_block	西瓜
minecraft:pumpkin_stem	南瓜梗
minecraft:melon_stem	西瓜梗
minecraft:vine	藤蔓
minecraft:fence_gate	橡木栅栏门
minecraft:brick_stairs	红砖楼梯
minecraft:stone_brick_stairs	石砖阶梯
minecraft:mycelium	菌丝土
minecraft:waterlily	荷叶
minecraft:nether_brick	地狱砖头
minecraft:nether_brick_fence	地狱砖栅栏
minecraft:nether_brick_stairs	地狱砖阶梯
minecraft:nether_wart	地狱疙瘩
minecraft:enchanting_table	附魔台
minecraft:brewing_stand	酿造台
minecraft:cauldron	锅釜
minecraft:end_portal	终界传送门
minecraft:end_portal_frame	终界传送门框架
minecraft:end_stone	终界石
minecraft:dragon_egg	龙蛋
minecraft:redstone_lamp	红石灯
minecraft:lit_redstone_lamp	点亮的红石灯
minecraft:dropper	投掷器
minecraft:activator_rail	触发铁轨
minecraft:cocoa	可可豆
minecraft:sandstone_stairs	砂岩阶梯
minecraft:emerald_ore	绿宝石矿
minecraft:ender_chest	终界箱
minecraft:tripwire_hook	绊线钩
minecraft:trip_wire	绊线
minecraft:emerald_block	绿宝石方块
minecraft:spruce_stairs	杉木阶梯
minecraft:birch_stairs	桦木阶梯
minecraft:jungle_stairs	丛林木阶梯
minecraft:command_block	脉冲型指令方块
minecraft:beacon	烽火台
minecraft:cobblestone_wall	墙
minecraft:flower_pot	花盆
minecraft:carrots	胡萝卜
minecraft:potatoes	马铃薯
minecraft:wooden_button	橡木按钮
minecraft:skull	生物头颅
minecraft:anvil	铁砧
minecraft:trapped_chest	陷阱储物箱
minecraft:light_weighted_pressure_plate	测重压力板 （轻质）
minecraft:heavy_weighted_pressure_plate	测重压力板 （重质）
minecraft:unpowered_comparator	未启动的比较器
minecraft:powered_comparator	启动的比较器
minecraft:daylight_detector	日光感测器
minecraft:redstone_block	红石方块
minecraft:quartz_ore	地狱石英矿
minecraft:hopper	漏斗
minecraft:quartz_block	石英方块
minecraft:quartz_stairs	石英阶梯
minecraft:double_wooden_slab	双层木半砖
minecraft:wooden_slab	木质半砖
minecraft:stained_hardened_clay	染色陶土
minecraft:stained_glass_pane	染色玻璃片
minecraft:leaves2	树叶2
minecraft:acacia_log	相思木原木
minecraft:acacia_stairs	相思木阶梯
minecraft:dark_oak_stairs	黑橡木阶梯
minecraft:slime	史莱姆方块
minecraft:iron_trapdoor	铁制地板门
minecraft:prismarine	海磷石
minecraft:sea_lantern	海灯笼
minecraft:hay_block	干草捆
minecraft:white_carpet	白色地毯
minecraft:hardened_clay	陶土
minecraft:coal_block	煤炭方块
minecraft:packed_ice	冰砖
minecraft:double_plant	双层植物
minecraft:standing_banner	站立的旗帜
minecraft:wall_banner	墙上的旗帜
minecraft:daylight_detector_inverted	反向日光感测器
minecraft:red_sandstone	红砂岩
minecraft:red_sandstone_stairs	红砂岩阶梯
minecraft:double_stone_block_slab2	双石半砖2
minecraft:stone_slab2	石半砖2
minecraft:spruce_fence_gate	杉木栅栏门
minecraft:birch_fence_gate	桦木栅栏门
minecraft:jungle_fence_gate	丛林木栅栏门
minecraft:dark_oak_fence_gate	黑橡木栅栏门
minecraft:acacia_fence_gate	相思木栅栏门
minecraft:repeating_command_block	重复型指令方块
minecraft:chain_command_block	连锁式指令方块
minecraft:hard_glass_pane	强化玻璃片
minecraft:hard_stained_glass_pane	染色强化玻璃片
minecraft:chemical_heat	加热块
minecraft:spruce_door	杉木门
minecraft:birch_door	桦木门
minecraft:jungle_door	丛林木门
minecraft:acacia_door	相思木门
minecraft:dark_oak_door	黑橡木门
minecraft:grass_path	草径
minecraft:frame	物品展示框
minecraft:chorus_flower	歌莱花
minecraft:purpur_block	紫珀方块
minecraft:colored_torch_rg	红色火把
minecraft:purpur_stairs	紫珀砖阶梯
minecraft:colored_torch_bp	蓝色火把
minecraft:undyed_shulker_box	未染色的界伏盒
minecraft:end_bricks	终界石砖
minecraft:frosted_ice	霜冰
minecraft:end_rod	终界烛
minecraft:end_gateway	终界折跃门
minecraft:allow	允许方块
minecraft:deny	拒绝方块
minecraft:border_block	边界方块
minecraft:magma	岩浆块
minecraft:nether_wart_block	地狱疙瘩块
minecraft:red_nether_brick	红地狱砖
minecraft:bone_block	骨块
minecraft:structure_void	结构空位
minecraft:shulker_box	界伏盒
minecraft:purple_glazed_terracotta	紫色釉陶
minecraft:white_glazed_terracotta	白色釉陶
minecraft:orange_glazed_terracotta	橙色釉陶
minecraft:magenta_glazed_terracotta	洋红色釉陶
minecraft:light_blue_glazed_terracotta	浅蓝色釉陶
minecraft:yellow_glazed_terracotta	黄色釉陶
minecraft:lime_glazed_terracotta	浅绿色釉陶
minecraft:pink_glazed_terracotta	粉红色釉陶
minecraft:gray_glazed_terracotta	灰色釉陶
minecraft:silver_glazed_terracotta	浅灰色釉陶
minecraft:cyan_glazed_terracotta	青色釉陶
minecraft:chalkboard	黑板
minecraft:blue_glazed_terracotta	蓝色釉陶
minecraft:brown_glazed_terracotta	棕色釉陶
minecraft:green_glazed_terracotta	绿色釉陶
minecraft:red_glazed_terracotta	红色釉陶
minecraft:black_glazed_terracotta	黑色釉陶
minecraft:concrete	混凝土
minecraft:concrete_powder	混凝土粉末
minecraft:chemistry_table	化合物建立器
minecraft:underwater_torch	水下火把
minecraft:chorus_plant	歌莱植株
minecraft:stained_glass	染色玻璃
minecraft:camera	相机 [注 1]
minecraft:podzol	灰壤
minecraft:beetroot	甜菜根
minecraft:stonecutter	切石机
minecraft:glowingobsidian	发光的黑曜石
minecraft:netherreactor	地狱反应核
minecraft:info_update	资料更新方块（update!） [注 2]
minecraft:info_update2	资料更新方块2（ate!upd）
minecraft:moving_block	被活塞推动的方块
minecraft:observer	侦测器
minecraft:structure_block	结构方块
minecraft:hard_glass	强化玻璃
minecraft:hard_stained_glass	强化染色玻璃
minecraft:reserved6	reserved6
minecraft:prismarine_stairs	海磷石阶梯
minecraft:dark_prismarine_stairs	暗海磷石阶梯
minecraft:prismarine_bricks_stairs	海磷石砖阶梯
minecraft:stripped_spruce_log	剥皮杉木原木
minecraft:stripped_birch_log	剥皮桦木原木
minecraft:stripped_jungle_log	剥皮丛林木原木
minecraft:stripped_acacia_log	剥皮相思木原木
minecraft:stripped_dark_oak_log	剥皮黑橡木原木
minecraft:stripped_oak_log	剥皮橡木原木
minecraft:blue_ice	蓝冰
minecraft:seagrass	海草
minecraft:tube_coral	管珊瑚
minecraft:coral_block	珊瑚方块
minecraft:coral_fan	扇状珊瑚
minecraft:coral_fan_dead	死亡的扇状珊瑚
minecraft:coral_fan_hang	墙上的扇状珊瑚
minecraft:coral_fan_hang2	墙上的扇状珊瑚2
minecraft:coral_fan_hang3	墙上的扇状珊瑚3
minecraft:kelp	海带
minecraft:dried_kelp_block	海带干块
minecraft:acacia_button	相思木按钮
minecraft:birch_button	桦木按钮
minecraft:dark_oak_button	黑橡木按钮
minecraft:jungle_button	丛林木按钮
minecraft:spruce_button	杉木按钮
minecraft:acacia_trapdoor	相思木地板门
minecraft:birch_trapdoor	桦木地板门
minecraft:dark_oak_trapdoor	黑橡木地板门
minecraft:jungle_trapdoor	丛林木地板门
minecraft:spruce_trapdoor	杉木地板门
minecraft:acacia_pressure_plate	相思木压力板
minecraft:birch_pressure_plate	桦木压力板
minecraft:dark_oak_pressure_plate	黑橡木压力板
minecraft:jungle_pressure_plate	丛林木压力板
minecraft:spruce_pressure_plate	杉木压力板
minecraft:carved_pumpkin	雕刻南瓜
minecraft:sea_pickle	海鞘
minecraft:conduit	海灵核心
minecraft:air	空气
minecraft:turtle_egg	海龟蛋
minecraft:bubble_column	气泡柱
minecraft:barrier	屏障
minecraft:stone_slab3	石半砖3
minecraft:bamboo	竹子
minecraft:bamboo_sapling	竹笋
minecraft:scaffolding	鹰架
minecraft:stone_slab4	石半砖4
minecraft:double_stone_block_slab3	双石半砖3
minecraft:double_stone_block_slab4	双石半砖4
minecraft:granite_stairs	花岗岩阶梯
minecraft:diorite_stairs	闪长岩阶梯
minecraft:andesite_stairs	安山岩阶梯
minecraft:polished_granite_stairs	抛光花岗岩阶梯
minecraft:polished_diorite_stairs	抛光闪长岩阶梯
minecraft:polished_andesite_stairs	抛光安山岩阶梯
minecraft:mossy_stone_brick_stairs	青苔石砖阶梯
minecraft:smooth_red_sandstone_stairs	平滑红砂岩阶梯
minecraft:smooth_sandstone_stairs	平滑砂岩阶梯
minecraft:end_brick_stairs	终界石砖阶梯
minecraft:mossy_cobblestone_stairs	青苔鹅卵石阶梯
minecraft:normal_stone_stairs	石头阶梯
minecraft:spruce_standing_sign	杉木告示牌
minecraft:spruce_wall_sign	墙上的杉木告示牌
minecraft:smooth_stone	平滑石头
minecraft:red_nether_brick_stairs	红地狱砖阶梯
minecraft:smooth_quartz_stairs	平滑石英阶梯
minecraft:birch_standing_sign	桦木告示牌
minecraft:birch_wall_sign	墙上的桦木告示牌
minecraft:jungle_standing_sign	丛林木告示牌
minecraft:jungle_wall_sign	墙上的丛林木告示牌
minecraft:acacia_standing_sign	相思木告示牌
minecraft:acacia_wall_sign	墙上的相思木告示牌
minecraft:darkoak_standing_sign	黑橡木告示牌
minecraft:darkoak_wall_sign	墙上的黑橡木告示牌
minecraft:lectern	讲台
minecraft:grindstone	砂轮
minecraft:blast_furnace	高炉
minecraft:stonecutter_block	切石机
minecraft:smoker	烟熏炉
minecraft:lit_smoker	燃烧的烟熏炉
minecraft:cartography_table	制图台
minecraft:fletching_table	制箭台
minecraft:smithing_table	锻造台
